RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31
102001,0,United States,country,,0.9852030998075624,0.9879329164142661,0.990783217214453,0.9926632084361143,0.9929060460770257,0.991464571156615,0.989206771533362,0.9870965173135536,0.9855527386672455,0.984055014247013,0.9826897406559878,0.9824562358102455,0.9836108117256307,0.9860585303568093,0.9884434892806883,0.9902059178007846,0.9908030709644776,0.9901870918303223,0.9888947270916825,0.9876411429729298,0.9867176631329876,0.9858194016401586,0.9846043550987913,0.9845417131756843,0.9863302729243415,0.9898672796528376,0.9917157548537484,0.9927707468581489,0.9941376760541775,0.9970030055670716,0.9992301770592764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001338688085676,1.0048847873764561,1.0075781309701461,1.0064061929261576,1.0028600936353775,1.0001667500416875,1.0,1.0,1.0,1.0,1.0019607843137255,1.0070889894419306,1.012422322775264,1.013525153527316,1.0083969483991109,1.0030636150657777,1.0,0.9992288413341045,0.9963737378366027,0.9920818923430405,0.9877085468905853,0.9866624800369818,0.9902466114470337,0.9953911155653844,0.9992922859164898,1.0,1.0,1.0
394913,1,"New York, NY",msa,NY,0.9780777586499235,0.9785615662054875,0.9796594330554435,0.9816365253983933,0.9833256866139269,0.9844416325286055,0.9834275989784206,0.9817220911225711,0.9799372221739772,0.9787514514229891,0.9774550831062307,0.9764834209704537,0.975886660527146,0.9767703650163648,0.9785002295232474,0.9806178301391965,0.9818674619303546,0.9822536219550688,0.9813124919273551,0.9802494659188487,0.9791731672791316,0.9788468269527913,0.9784578084100394,0.9777150661803965,0.9780265586967887,0.98010530733605,0.982041596665224,0.9828283742997334,0.9840831888947182,0.9877603824168787,0.993655119258984,0.9977703455964325,1.0,1.0,1.0,0.998095238095238,0.9966537141004869,0.9966537141004869,0.9985584760052487,1.0000617398283633,1.000668904369954,1.0011786181586473,1.001116878330284,1.0005097137886934,1.0,1.0,1.0,1.0,1.0,1.0011148272017838,1.0056654588025293,1.0117867721024736,1.0154008521529192,1.0121862258961951,1.0060649125962506,1.0013360053440215,1.0,1.0,0.9967326798693072,0.993106640609058,0.9929399739423914,0.9962072940730842,0.9998338095244899,1.0031250412572665,1.008524359958468,1.012328389623529
753899,2,"Los Angeles, CA",msa,CA,0.9991132101615267,1.0,1.0,1.0,1.0,1.0,0.9992032113635374,0.9972351027560746,0.9947146238650855,0.9926703386916099,0.9908289234895489,0.990379165367748,0.9905620718632235,0.9926444799559944,0.9945234110393556,0.9964341941983621,0.9967578245748245,0.9965140170196073,0.9956115178047497,0.995197726319768,0.9954202452338757,0.9952228528007963,0.9948507481263423,0.9959633426968808,0.9978106185002736,1.0,1.0,0.9997153430116709,0.9997153430116709,0.9997153430116709,1.0,1.0000055556481497,1.0000932980364974,1.0001657775610318,1.0001972630656029,1.000586392398762,1.004722772314991,1.0117784729770254,1.020059127254424,1.0258645739653056,1.0289314838196362,1.0280967421213278,1.0240116577387264,1.0195901385683366,1.0175159025400466,1.0177727667138843,1.0180952402757943,1.0230380589099621,1.0321509993926719,1.0429905489913942,1.0461376814325143,1.0395125501606939,1.0246693386628378,1.010730839315243,1.0020569441614724,0.9995751543281787,0.9973498412213629,0.9940825210906702,0.9902340349691908,0.9902699501190475,0.9935372702497404,0.9978106020430411,1.0008795074758134,1.0035093664904722,1.006176033157139,1.0079372556732202
394463,3,"Chicago, IL",msa,IL,0.9739657029119305,0.9768079979591254,0.9796043927440468,0.9810999751026835,0.9814019042523445,0.9804608889998105,0.9789134304689489,0.9773565078593948,0.975727146844596,0.9741850128829087,0.9725942201630836,0.9726772368195316,0.9744560342487739,0.9771806138166715,0.9794309134713407,0.9804973541373364,0.9805640066403463,0.9799217180723611,0.9790245476099733,0.9779877199466661,0.9770651596573513,0.9754779327191708,0.974111271695195,0.9734258208978258,0.9752171711264737,0.9778686070274079,0.9791829757307867,0.9796892815394953,0.9807311430468703,0.9828289000686344,0.984602943019148,0.9854469675120812,0.9859068675057707,0.9858378543932793,0.9851772034515203,0.9846337880795141,0.9866057929756412,0.9918686792888666,0.9971410870217312,1.0000775374118012,1.0000775374118012,1.0000775374118012,1.0,1.0,0.9987878787878787,0.9973552140314318,0.993651510327728,0.9948636315398494,0.9962962962962963,1.0002780094523214,1.0027295087612755,1.004881390761782,1.0046654419301688,1.0022139426212144,0.9987446643923564,0.9953478809704812,0.9910645495780596,0.986935685942012,0.984269317635705,0.9840143513528465,0.9894606112172458,0.9954617023247199,1.0,1.000095265313899,1.0001570051422624,1.0001570051422624
394514,4,"Dallas, TX",msa,TX,0.9917594052802968,0.9959566816751315,0.998639455782313,1.0,0.9989996665555184,0.9962207308878792,0.9929474531838731,0.9900128725039717,0.9886267873465068,0.9870834663102387,0.9856420363486001,0.9853914493517705,0.9867358258698226,0.9892932820160757,0.9908564681367471,0.9912134255614614,0.9909776123055924,0.9901065057623724,0.9888383119132635,0.9877039047905286,0.9872607663683445,0.9870145953853315,0.9864247311827957,0.9862995523559,0.9878119066912182,0.9902973012304748,0.9919277921423637,0.9930843460795821,0.9943110867005892,0.996097093179749,0.9980578145368423,0.9991246518974867,1.0,1.0,1.0,1.0,1.0,1.0052083333333333,1.0139039855072465,1.024485996089257,1.028536922015183,1.026377217553688,1.0187713974478678,1.0107384481105708,1.0051562457931587,1.0030794731424562,1.0031165092410286,1.0081747878941185,1.0208808122455015,1.0367130378858351,1.0466492649733905,1.04330023305293,1.0289197955857832,1.0129715444501315,1.0018344648850468,0.9963455325378711,0.9921678995190829,0.9879287794314481,0.9846419715242963,0.9841899749134551,0.9880152659278872,0.9940758719884935,0.9987055016181229,1.0,1.0,0.9989281439272615
394692,5,"Houston, TX",msa,TX,0.9770825999258324,0.9790958116276253,0.9807154504128909,0.9819744094585569,0.9818691667712077,0.981638819961538,0.9805771677524966,0.9795613188877196,0.9786018538688478,0.9781645181682662,0.9774963838211898,0.9775336978109509,0.9781297539999464,0.9798067464535821,0.9813651338573383,0.9825267675616257,0.983144051512243,0.9824575913156179,0.9814406421630756,0.9802621909846244,0.9802236522491549,0.9799937671916835,0.9794813971140962,0.9790731229762836,0.9801544261449981,0.9822950407392327,0.9834292717130929,0.9840034301217656,0.9844143566583741,0.9855595696679939,0.9864146949024636,0.9869322411533131,0.9873717050074111,0.9873192950477218,0.9871106195653429,0.9877187492164757,0.9910460129773346,0.9954319778896155,0.9988888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0006493506493506,1.0029353978962432,1.003003095281726,1.0023537446323754,1.0000676973854827,0.9962859795728877,0.9916262101185976,0.985979677282566,0.9833444913604721,0.9811011362512397,0.9806501081116613,0.9820873621804944,0.9863233754847083,0.9898865893881558,0.9922344391044265,0.9924991686724125,0.9911873618984209
395209,6,"Washington, DC",msa,VA,0.9977924944812363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999335324375458,0.997409340751419,0.9952570660106822,0.995921741635224,0.9978477252592631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994152046783625,0.9994152046783625,0.9994152046783625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000045517243531,1.0037492209472345,1.0096714044305362,1.0174690244419073,1.0200153207382037,1.0175112994877678,1.009742252771504,1.003492252771504,1.0000740905386383,1.0,1.0,1.0,1.002547770700637,1.0095722946689263,1.0185813036779352,1.023725840669606,1.0198147639581026,1.0108057549490934,1.0031134472567858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0001333866880084,1.0029114445588456,1.0048211102795563,1.004787255790214,1.0020091979193768
394974,7,"Philadelphia, PA",msa,PA,0.9816225742143233,0.9839304833679982,0.9872105331179447,0.989342547445081,0.9901850320132276,0.988939862586396,0.9869636948717994,0.9851554638380148,0.9835710476598525,0.9823654445633944,0.9813047432168996,0.980638100550329,0.9815493372890162,0.9842374580576219,0.9882374580576219,0.9911570845610473,0.9923341807189114,0.9911133767346133,0.9887850738774989,0.9870286605498633,0.9864930439671546,0.985962539988375,0.9839010677115487,0.9831158216118886,0.9850694235654905,0.9899207022460708,0.9925710396369148,0.9940751461064673,0.99577150735246,0.9983295032949492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0002084636230977,1.003542292151409,1.0066264892781593,1.006573136559358,1.0032393080310469,1.0001551109042965,1.0,1.0,1.0,1.0,1.000070190215484,1.0057387464008791,1.0128309449824393,1.019460922271143,1.01641278700105,1.0093207074671937,1.002620539963006,1.0000001190477041,1.0,1.0,0.9980039258654722,0.9980039258654722,0.9980039258654722,1.0,1.0000059785947124,1.001966762908438,1.0036341874953714,1.0038244027401724
394856,8,"Miami, FL",msa,FL,0.9647162361272992,0.9659737088133432,0.9666826410253911,0.9673260692313393,0.9675176401125655,0.9679971264367816,0.9686063218390805,0.9687731738969226,0.9683160525158881,0.9671761658950876,0.9659822899552122,0.96536182512935,0.9655231369066728,0.9663585899074802,0.9672226225836251,0.967922751378809,0.9687824227241801,0.9691562326651882,0.9686201977243728,0.9689980584288587,0.9688738458478987,0.9689931099293325,0.9677555778794756,0.9673835125448029,0.9679220638636711,0.9693713392259898,0.9688669917507533,0.9688247183475179,0.9691357386442679,0.9710021444090814,0.9719475677008734,0.9722568223507144,0.9728755224086193,0.9726719518144501,0.9727045036076424,0.9723440133408795,0.9736274750196529,0.9753494614895123,0.9783936015199538,0.9824692366658927,0.9867167174459883,0.9895592177062852,0.9903776372835194,0.9893019527051247,0.9885316682486823,0.9885307397452999,0.9887777521305009,0.9924689938471197,0.9958069635073432,0.9996751774595908,1.0,1.0,1.0,0.9962962962962963,0.9905058067367244,0.9833416250787405,0.9781564398935553,0.974856020362218,0.9717044783565573,0.9711889785307125,0.971492851811139,0.9730366456502225,0.9739407307826852,0.9746632504641356,0.9762454334928231,0.9769460223636672
394347,9,"Atlanta, GA",msa,GA,0.9865898903038923,0.9905487634962352,0.9939422532195882,0.9955713877737234,0.9954506276877862,0.9932290946008832,0.9915000470955656,0.9893173569263679,0.9880550922750819,0.9868346881164735,0.9859534489433179,0.9860769057334414,0.9873169572498814,0.9893202016377062,0.9912248243312218,0.9919640142306428,0.992323131558002,0.9914721763881147,0.9905185759978945,0.9890818915204171,0.9884665862043023,0.9879940546206596,0.986957974282681,0.9871949325311898,0.9887198484230307,0.9927700200290542,0.9948283856400515,0.995422222230907,0.9956431324485764,0.99669271289806,0.9986828556353698,0.9994622788621821,1.0,1.0,1.0,1.0,1.0,1.001038062283737,1.004281349975491,1.0085232834747389,1.0117046304737023,1.0111280094486148,1.0070571038269112,1.0028553155062816,1.0001985993854026,1.0001069554881712,1.0000893345261002,1.0023028421437041,1.0073516632915964,1.0154817445924096,1.0218052949760266,1.0223268073619458,1.0145675084118928,1.0060204998648843,1.0003707823507602,1.0,0.9972227731490664,0.9936462721522245,0.9896615604339192,0.9903223851684508,0.9938988861652925,0.9978835978835979,1.0,1.0,1.0,1.0
